,report_year,population,violent_crimes,homicides,rapes,assaults,robberies,months_reported,crimes_percapita,homicides_percapita,rapes_percapita,assaults_percapita,robberies_percapita,city,state,lat,lng,unemploymentRate
116,1977,292341.0,2390.0,31.0,207.0,1398.0,754.0,12.0,817.54,10.6,70.81,478.21,257.92,Albuquerque,NM,35.1054,-106.6465,7.050000000000001
117,1977,112994.0,389.0,4.0,34.0,266.0,85.0,12.0,344.27,3.54,30.09,235.41,75.23,Arlington,TX,32.6998,-97.125,7.050000000000001
118,1977,440300.0,7595.0,138.0,510.0,3593.0,3354.0,12.0,1724.96,31.34,115.83,816.03,761.75,Atlanta,GA,33.7628,-84.422,7.050000000000001
119,1977,137200.0,585.0,3.0,42.0,374.0,166.0,12.0,426.38,2.19,30.61,272.59,120.99,Aurora,CO,39.7083,-104.7237,7.050000000000001
120,1977,321900.0,1260.0,33.0,187.0,528.0,512.0,12.0,391.43,10.25,58.09,164.03,159.06,Austin,TX,30.3005,-97.7522,7.050000000000001
121,1977,827494.0,14283.0,171.0,499.0,6050.0,7563.0,12.0,1726.05,20.66,60.3,731.12,913.96,Baltimore,MD,39.3051,-76.6144,7.050000000000001
122,1977,619321.0,9422.0,75.0,408.0,3284.0,5655.0,12.0,1521.34,12.11,65.88,530.26,913.1,Boston,MA,42.3188,-71.0852,7.050000000000001
123,1977,415352.0,3945.0,45.0,236.0,1842.0,1822.0,12.0,949.8,10.83,56.82,443.48,438.66,Buffalo,NY,42.9018,-78.8487,7.050000000000001
124,1977,262314.0,2245.0,47.0,119.0,1465.0,614.0,12.0,855.84,17.92,45.37,558.49,234.07,Charlotte,NC,35.2083,-80.8303,7.050000000000001
125,1977,3086806.0,28873.0,823.0,1227.0,10311.0,16512.0,12.0,935.37,26.66,39.75,334.03,534.92,Chicago,IL,41.8375,-87.6866,7.050000000000001
126,1977,423671.0,3439.0,72.0,291.0,1451.0,1625.0,12.0,811.71,16.99,68.69,342.48,383.55,Cincinnati,OH,39.1413,-84.506,7.050000000000001
127,1977,638793.0,9421.0,249.0,508.0,2198.0,6466.0,12.0,1474.81,38.98,79.52,344.09,1012.22,Cleveland,OH,41.4764,-81.6805,7.050000000000001
128,1977,568800.0,3238.0,69.0,331.0,1086.0,1752.0,12.0,569.27,12.13,58.19,190.93,308.02,Columbus,OH,39.9862,-82.9855,7.050000000000001
129,1977,873700.0,8899.0,224.0,637.0,4401.0,3637.0,12.0,1018.54,25.64,72.91,503.72,416.28,Dallas,TX,32.7935,-96.7667,7.050000000000001
130,1977,520200.0,5032.0,73.0,466.0,2005.0,2488.0,12.0,967.32,14.03,89.58,385.43,478.28,Denver,CO,39.762,-104.8758,7.050000000000001
131,1977,1316352.0,24070.0,479.0,1277.0,6482.0,15832.0,12.0,1828.54,36.39,97.01,492.42,1202.72,Detroit,MI,42.3834,-83.1024,7.050000000000001
132,1977,386000.0,1560.0,32.0,107.0,597.0,824.0,12.0,404.15,8.29,27.72,154.66,213.47,El Paso,TX,31.8476,-106.43,7.050000000000001
133,1977,383028.0,2561.0,102.0,208.0,1119.0,1132.0,12.0,668.62,26.63,54.3,292.15,295.54,Fort Worth,TX,32.7817,-97.3474,7.050000000000001
134,1977,182629.0,1673.0,52.0,71.0,592.0,958.0,12.0,916.06,28.47,38.88,324.15,524.56,Fresno,CA,36.783,-119.7939,7.050000000000001
135,1977,721983.0,1660.0,46.0,176.0,357.0,1081.0,12.0,229.92,6.37,24.38,49.45,149.73,Honolulu,HI,21.3294,-157.846,7.050000000000001
136,1977,1613303.0,9304.0,376.0,965.0,1810.0,6153.0,12.0,576.71,23.31,59.82,112.19,381.39,Houston,TX,29.786,-95.3885,7.050000000000001
137,1977,509000.0,3785.0,80.0,346.0,1220.0,2139.0,12.0,743.61,15.72,67.98,239.69,420.24,Indianapolis,IN,39.7771,-86.1458,7.050000000000001
138,1977,528698.0,4171.0,77.0,299.0,2329.0,1466.0,12.0,788.92,14.56,56.55,440.52,277.28,Jacksonville,FL,30.3322,-81.6749,7.050000000000001
139,1977,492055.0,5616.0,97.0,325.0,2868.0,2326.0,12.0,1141.34,19.71,66.05,582.86,472.71,Kansas City,MO,39.1238,-94.5541,7.050000000000001
140,1977,279791.0,2729.0,59.0,183.0,1068.0,1419.0,12.0,975.37,21.09,65.41,381.71,507.16,Las Vegas,NV,36.2333,-115.2654,7.050000000000001
141,1977,346662.0,3391.0,75.0,226.0,1094.0,1996.0,12.0,978.19,21.63,65.19,315.58,575.78,Long Beach,CA,33.7977,-118.167,7.050000000000001
142,1977,2785393.0,33676.0,576.0,2339.0,15515.0,15246.0,12.0,1209.02,20.68,83.97,557.01,547.36,Los Angeles,CA,34.1141,-118.4068,7.050000000000001
143,1977,667150.0,5231.0,105.0,581.0,1796.0,2749.0,12.0,784.08,15.74,87.09,269.2,412.05,Memphis,TN,35.1087,-89.9663,7.050000000000001
144,1977,116400.0,385.0,4.0,34.0,264.0,83.0,12.0,330.76,3.44,29.21,226.8,71.31,Mesa,AZ,33.4015,-111.7178,7.050000000000001
145,1977,333713.0,5346.0,84.0,178.0,2637.0,2447.0,12.0,1601.98,25.17,53.34,790.2,733.26,Miami,FL,25.784,-80.2101,7.050000000000001
146,1977,640489.0,2535.0,54.0,213.0,879.0,1389.0,12.0,395.79,8.43,33.26,137.24,216.87,Milwaukee,WI,43.0642,-87.9675,7.050000000000001
147,1977,390294.0,3130.0,38.0,324.0,1116.0,1652.0,12.0,801.96,9.74,83.01,285.94,423.27,Minneapolis,MN,44.9635,-93.2678,7.050000000000001
148,1977,456589.0,2957.0,82.0,187.0,1000.0,1688.0,12.0,647.63,17.96,40.96,219.02,369.7,Nashville,TN,36.1715,-86.7842,7.050000000000001
149,1977,587776.0,5947.0,173.0,360.0,2135.0,3279.0,12.0,1011.78,29.43,61.25,363.23,557.87,New Orleans,LA,30.0687,-89.9288,7.050000000000001
150,1977,351412.0,6175.0,92.0,324.0,2556.0,3203.0,12.0,1757.2,26.18,92.2,727.35,911.47,Newark,NJ,40.7245,-74.1725,7.050000000000001
151,1977,339264.0,5764.0,94.0,366.0,2267.0,3037.0,12.0,1698.97,27.71,107.88,668.21,895.17,Oakland,CA,37.7904,-122.2166,7.050000000000001
152,1977,373570.0,2695.0,67.0,251.0,1602.0,775.0,12.0,721.42,17.94,67.19,428.84,207.46,Oklahoma City,OK,35.4676,-97.5136,7.050000000000001
153,1977,367281.0,1918.0,31.0,172.0,906.0,809.0,12.0,522.22,8.44,46.83,246.68,220.27,Omaha,NE,41.2627,-96.0529,7.050000000000001
154,1977,118374.0,1143.0,15.0,85.0,769.0,274.0,12.0,965.58,12.67,71.81,649.64,231.47,Orlando,FL,28.4773,-81.337,7.050000000000001
155,1977,1897706.0,12047.0,323.0,771.0,3954.0,6999.0,12.0,634.82,17.02,40.63,208.36,368.81,Philadelphia,PA,40.0077,-75.1339,7.050000000000001
156,1977,682200.0,4295.0,70.0,316.0,2315.0,1594.0,12.0,629.58,10.26,46.32,339.34,233.66,Phoenix,AZ,33.5722,-112.0892,7.050000000000001
157,1977,482413.0,4572.0,52.0,252.0,1729.0,2539.0,12.0,947.74,10.78,52.24,358.41,526.31,Pittsburgh,PA,40.4397,-79.9763,7.050000000000001
158,1977,385230.0,3973.0,41.0,337.0,1892.0,1703.0,12.0,1031.33,10.64,87.48,491.14,442.07,Portland,OR,45.5371,-122.65,7.050000000000001
159,1977,152840.0,571.0,10.0,39.0,402.0,120.0,12.0,373.59,6.54,25.52,263.02,78.51,Raleigh,NC,35.8324,-78.6429,7.050000000000001
160,1977,265220.0,2915.0,41.0,205.0,1393.0,1276.0,12.0,1099.09,15.46,77.29,525.22,481.11,Sacramento,CA,38.5677,-121.4685,7.050000000000001
161,1977,180122.0,1064.0,12.0,112.0,461.0,479.0,12.0,590.71,6.66,62.18,255.94,265.93,Salt Lake City,UT,40.7776,-111.9311,7.050000000000001
162,1977,764217.0,3755.0,146.0,273.0,1876.0,1460.0,12.0,491.35,19.1,35.72,245.48,191.05,San Antonio,TX,29.4632,-98.5238,7.050000000000001
